// Help:
// - Comment lines for this CSV file are starting with '//'
// - Lines that will end up as commented lines in the generated ODB file are starting with '#'
// - Lines that will end up as empty lines in the generated ODB file are starting with '@'
// - An additional separator line will be generated in the ODB file after each valid CSV row entries. (The separator can be configured in the .py script)
// 
// CSV columns: Description String, Family ID, Silicon ID, CodeFlash Large Sectors, CodeFlash Small Sectors, WorkFlash Large Sectors, WorkFlash Small Sectors
//
// Note: The necessary values (besides Family ID) can be retrieved from the 'Ordering Information' in the device datasheets
//==========================================================================================================================

#====================================== Traveo II - CYT2B6 series (TVII-B-E-512K) ===============================================
@
"CYT2B63BAS/E (64-LQFP, CodeFlash: 576KB, WorkFlash: 64KB, RAM: 64KB, SHE)",  0x101, 0xe349, 14, 16, 24, 128
"CYT2B63CAS/E (64-LQFP, CodeFlash: 576KB, WorkFlash: 64KB, RAM: 64KB, HSM)",  0x101, 0xe34a, 14, 16, 24, 128
"CYT2B64BAS/E (80-LQFP, CodeFlash: 576KB, WorkFlash: 64KB, RAM: 64KB, SHE)",  0x101, 0xe351, 14, 16, 24, 128
"CYT2B64CAS/E (80-LQFP, CodeFlash: 576KB, WorkFlash: 64KB, RAM: 64KB, HSM)",  0x101, 0xe352, 14, 16, 24, 128
"CYT2B65BAS/E (100-LQFP, CodeFlash: 576KB, WorkFlash: 64KB, RAM: 64KB, SHE)", 0x101, 0xe359, 14, 16, 24, 128
"CYT2B65CAS/E (100-LQFP, CodeFlash: 576KB, WorkFlash: 64KB, RAM: 64KB, HSM)", 0x101, 0xe35a, 14, 16, 24, 128
@
#====================================== Traveo II - CYT2B7 series (TVII-B-E-1M) ===============================================
@
"CYT2B73BAS/E (64-LQFP, CodeFlash: 1088KB, WorkFlash: 96KB, RAM: 128KB, SHE)",  0x101, 0xe3c9, 30, 16, 36, 192
"CYT2B73CAS/E (64-LQFP, CodeFlash: 1088KB, WorkFlash: 96KB, RAM: 128KB, HSM)",  0x101, 0xe3ca, 30, 16, 36, 192
